,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.1823272705078125,5.401778221130371,5.779734134674072,6.969902038574219,5.879746,6.9877872,136
1,TransformerLSTMPlus,{},858753,0.8600161075592041,0.9106220006942749,1.2950963973999023,1.9177128076553345,1.2881664,1.9917202,88
2,TransformerGRUPlus,{},792705,0.8611188530921936,0.9107986092567444,1.29312264919281,1.9199986457824707,1.2901565,1.9970347,146
3,RNNPlus,{},10401,0.8485488891601562,0.9028181433677673,1.2831571102142334,1.9014297723770142,1.2927256,1.9950316,8
4,XCMPlus,{},5635,0.5897221565246582,0.6188673377037048,0.9630990624427795,1.4709773063659668,0.9880962,1.5857347,18
5,ResNetPlus,{},478337,0.4759331941604614,0.6151368618011475,0.9495391249656677,1.4539109468460083,0.9988449,1.6306719,61
6,InceptionTimePlus,{},454977,0.434587299823761,0.6016649603843689,0.9341538548469543,1.465301752090454,1.0010239,1.6467073,153
7,TSSequencerPlus,{},210481,0.5516959428787231,0.5996466875076294,0.9318438768386841,1.4679431915283203,0.9537846,1.5586077,147
8,ConvTranPlus,{},12224,0.5442985892295837,0.5999376177787781,0.9301055669784546,1.4508167505264282,0.98297715,1.5945235,21
9,XceptionTimePlus,{},234865,0.5905872583389282,0.5870638489723206,0.9200499057769775,1.4322571754455566,0.96817285,1.5691789,234
10,TSTPlus,{},398849,0.5909684300422668,0.5832405686378479,0.9178748726844788,1.4270453453063965,0.9441927,1.5378875,116
