,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.070092678070068,5.45408821105957,5.818283557891846,7.047082901000977,5.927357,7.1092577,698
1,TransformerGRUPlus,{},792705,0.8564027547836304,0.9091322422027588,1.2929681539535522,1.912575125694275,1.2885703,1.9884244,758
2,TransformerLSTMPlus,{},858753,0.8536081314086914,0.9075223803520203,1.2907530069351196,1.9121952056884766,1.2850811,1.982965,508
3,RNNPlus,{},10401,0.7953852415084839,0.9006438851356506,1.2803486585617065,1.8978891372680664,1.3006287,1.998316,53
4,ResNetPlus,{},478337,0.06558137387037277,0.7172369360923767,1.0743430852890015,1.5768626928329468,1.1540501,1.7623992,355
5,InceptionTimePlus,{},454977,0.10390515625476837,0.7148001790046692,1.0690845251083374,1.5770491361618042,1.1859623,1.8116806,848
6,ConvTranPlus,{},12224,0.38902953267097473,0.6505428552627563,0.9913911819458008,1.5078331232070923,1.0551225,1.6731951,125
7,TSSequencerPlus,{},210481,0.432028591632843,0.6351356506347656,0.9702342748641968,1.5306071043014526,1.0082747,1.6603264,848
8,XCMPlus,{},5635,0.513961672782898,0.6257588267326355,0.9613652229309082,1.5114243030548096,0.9888563,1.6059479,106
9,TSTPlus,{},398849,0.5982939004898071,0.5783924460411072,0.9140604138374329,1.417110800743103,0.9572093,1.5490682,539
10,XceptionTimePlus,{},234865,0.5232447385787964,0.5799043774604797,0.9089035987854004,1.425767421722412,0.9463415,1.5420413,1249
