,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.0672430992126465,5.244354248046875,5.614013671875,6.75635290145874,5.8410354,6.941654,430
1,TransformerGRUPlus,{},792705,0.8575237393379211,0.9091810584068298,1.291837215423584,1.914995789527893,1.2884464,1.9920621,447
2,TransformerLSTMPlus,{},858753,0.8594802618026733,0.9079467058181763,1.2909491062164307,1.9131416082382202,1.2784696,1.9784635,269
3,RNNPlus,{},10401,0.7920717597007751,0.902648389339447,1.2818200588226318,1.902227520942688,1.2972102,2.0014837,26
4,ResNetPlus,{},478337,0.17493151128292084,0.7098953127861023,1.0622460842132568,1.578078031539917,1.1600081,1.8047006,187
5,InceptionTimePlus,{},454977,0.19425255060195923,0.6966670751571655,1.0489946603775024,1.5734354257583618,1.1793977,1.8772659,470
6,ConvTranPlus,{},12224,0.4588758945465088,0.6262534260749817,0.9577815532684326,1.499287724494934,1.0120083,1.669192,64
7,XCMPlus,{},5635,0.5607042908668518,0.6108283996582031,0.9491814970970154,1.4629937410354614,1.0025946,1.6285654,53
8,TSSequencerPlus,{},210481,0.5432576537132263,0.5902156829833984,0.9193748235702515,1.4448964595794678,0.97071946,1.5857726,448
9,TSTPlus,{},398849,0.5952395796775818,0.5829530954360962,0.9167920351028442,1.419956922531128,0.9564314,1.5421288,309
10,XceptionTimePlus,{},234865,0.5283583998680115,0.5799345970153809,0.9067716002464294,1.418164610862732,0.9470054,1.5444416,708
