,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.229559421539307,5.435523986816406,5.800383567810059,6.905106067657471,5.9142694,7.0034747,273
1,TransformerGRUPlus,{},792705,0.8617027997970581,0.9087378978729248,1.2920544147491455,1.9120094776153564,1.289221,1.9907627,297
2,TransformerLSTMPlus,{},858753,0.8571429252624512,0.908719003200531,1.2916772365570068,1.9152182340621948,1.2834183,1.9822135,212
3,RNNPlus,{},10401,0.8323719501495361,0.9027730226516724,1.2822084426879883,1.901257872581482,1.2909031,1.9924823,18
4,InceptionTimePlus,{},454977,0.28529930114746094,0.6702058911323547,1.0159809589385986,1.5595446825027466,1.1273797,1.8031183,309
5,ResNetPlus,{},478337,0.23486433923244476,0.6630223989486694,1.0088610649108887,1.5056097507476807,1.1624163,1.8062278,125
6,ConvTranPlus,{},12224,0.5172336101531982,0.6070917844772339,0.9376757740974426,1.4670335054397583,0.98890245,1.6105009,42
7,XCMPlus,{},5635,0.5548787713050842,0.6009392142295837,0.9353283643722534,1.4521511793136597,0.96563786,1.5616592,36
8,TSSequencerPlus,{},210481,0.5514838099479675,0.5936477184295654,0.9241663813591003,1.453513741493225,0.9528577,1.5564647,307
9,XceptionTimePlus,{},234865,0.5514683127403259,0.5777720212936401,0.9077127575874329,1.4194507598876953,0.9560192,1.5495874,470
10,TSTPlus,{},398849,0.5920371413230896,0.5737985372543335,0.9050341844558716,1.4147133827209473,0.9613438,1.5568641,231
