,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.1685614585876465,5.558659553527832,5.901291847229004,7.176986217498779,5.927429,7.01983,673
1,TransformerGRUPlus,{},792705,0.8648817539215088,0.908245325088501,1.2920328378677368,1.912227988243103,1.2847763,1.9820817,709
2,TransformerLSTMPlus,{},858753,0.8569398522377014,0.9061630368232727,1.2890641689300537,1.9100228548049927,1.2793112,1.9752601,358
3,RNNPlus,{},10401,0.7805717587471008,0.895496666431427,1.277100682258606,1.8882110118865967,1.3095676,2.0208685,35
4,InceptionTimePlus,{},454977,0.13546010851860046,0.7147932052612305,1.0692832469940186,1.5980255603790283,1.1733199,1.8108128,626
5,ResNetPlus,{},478337,0.10411834716796875,0.696502149105072,1.0493661165237427,1.5654553174972534,1.1611718,1.7760674,250
6,ConvTranPlus,{},12224,0.41785967350006104,0.6251823306083679,0.9573125243186951,1.4919174909591675,1.0593349,1.6714681,87
7,TSSequencerPlus,{},210481,0.5156282186508179,0.6074477434158325,0.9404410719871521,1.4691009521484375,0.93328184,1.5334948,613
8,TSTPlus,{},398849,0.6104458570480347,0.6008572578430176,0.9395307898521423,1.4638400077819824,0.9757082,1.5928214,387
9,XCMPlus,{},5635,0.5267544984817505,0.6030365824699402,0.9382271766662598,1.4509671926498413,0.9809935,1.5839121,73
10,XceptionTimePlus,{},234865,0.5159063935279846,0.5837384462356567,0.9101014137268066,1.4296280145645142,0.9544395,1.5565026,985
