,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,3.610867500305176,3.5665719509124756,3.650131940841675,4.27902889251709,3.5987616,4.198345,650
1,RNNPlus,{},10401,1.1790603399276733,1.3210880756378174,1.7506697177886963,2.3672637939453125,1.6881135,2.3203626,41
2,TransformerLSTMPlus,{},858753,1.2889889478683472,1.3086471557617188,1.738142728805542,2.3545761108398438,1.6834707,2.3243637,423
3,TransformerGRUPlus,{},792705,1.2952967882156372,1.3056062459945679,1.7357022762298584,2.3461098670959473,1.6881558,2.3271825,679
4,InceptionTimePlus,{},454977,0.163096085190773,1.125644564628601,1.5371928215026855,2.1686625480651855,1.46081,2.0288606,718
5,ResNetPlus,{},478337,0.06045731529593468,1.1192129850387573,1.5297495126724243,2.1324803829193115,1.4244038,1.9828283,287
6,TSSequencerPlus,{},210481,0.6367471814155579,1.027222990989685,1.4336446523666382,2.0453367233276367,1.2363967,1.7654456,685
7,ConvTranPlus,{},12224,0.602179765701294,1.0141780376434326,1.418807864189148,2.0038859844207764,1.2615902,1.7917156,99
8,XCMPlus,{},5635,0.7989301681518555,0.9553014039993286,1.3589775562286377,1.9133920669555664,1.2119068,1.7190415,84
9,TSTPlus,{},398849,0.9306553602218628,0.9394682049751282,1.3457409143447876,1.8929601907730103,1.2308288,1.7629778,414
10,XceptionTimePlus,{},234865,0.8163707256317139,0.9149262309074402,1.3145912885665894,1.8549989461898804,1.186752,1.6722426,1098
