,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,3.600121259689331,3.561251163482666,3.6213197708129883,4.24981689453125,3.5688238,4.163697,427
1,RNNPlus,{},10401,1.191043496131897,1.323208212852478,1.7536876201629639,2.374133586883545,1.6800944,2.3120563,27
2,TransformerLSTMPlus,{},858753,1.2884774208068848,1.3095710277557373,1.7392359972000122,2.356109619140625,1.6920142,2.3363428,281
3,TransformerGRUPlus,{},792705,1.289298176765442,1.3055567741394043,1.735419750213623,2.3460566997528076,1.6882435,2.3275359,450
4,InceptionTimePlus,{},454977,0.3077913224697113,1.141397476196289,1.5522476434707642,2.179933547973633,1.3671912,1.9522711,483
5,ResNetPlus,{},478337,0.1734863519668579,1.0948759317398071,1.5067238807678223,2.099447250366211,1.4340321,1.9958858,193
6,ConvTranPlus,{},12224,0.6556724905967712,1.0354706048965454,1.440624475479126,2.043970823287964,1.2356509,1.7627512,67
7,TSSequencerPlus,{},210481,0.7580474615097046,0.9967684745788574,1.4020674228668213,1.9699865579605103,1.2353468,1.7595617,469
8,TSTPlus,{},398849,0.9262909889221191,0.9427129626274109,1.3502857685089111,1.8933194875717163,1.2316711,1.7477903,289
9,XCMPlus,{},5635,0.8183501362800598,0.9292707443237305,1.331458568572998,1.8613947629928589,1.1978618,1.6881762,61
10,XceptionTimePlus,{},234865,0.7891530394554138,0.9228265285491943,1.3242371082305908,1.862866759300232,1.1844661,1.6706179,731
