,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,3.49871563911438,3.449681520462036,3.5375680923461914,4.152474880218506,3.4891126,4.0675435,1297
1,RNNPlus,{},10401,1.0408024787902832,1.3915570974349976,1.8242119550704956,2.461845874786377,1.7548263,2.4038,83
2,TransformerGRUPlus,{},792705,1.289244532585144,1.307059407234192,1.7379751205444336,2.3469367027282715,1.6863097,2.3243825,1358
3,TransformerLSTMPlus,{},858753,1.2886842489242554,1.306355357170105,1.7362552881240845,2.3490476608276367,1.688046,2.3297,828
4,TSSequencerPlus,{},210481,0.31165626645088196,1.0893795490264893,1.5006786584854126,2.140291690826416,1.4018182,2.0099747,1761
5,ResNetPlus,{},478337,0.017140747979283333,1.0830179452896118,1.493306279182434,2.0709688663482666,1.4046515,1.9103411,587
6,ConvTranPlus,{},12224,0.4416951835155487,1.0758248567581177,1.4872983694076538,2.0915818214416504,1.3013352,1.8170552,203
7,InceptionTimePlus,{},454977,0.0375540666282177,1.040473222732544,1.4488060474395752,2.0189919471740723,1.4157484,1.9538126,1450
8,XceptionTimePlus,{},234865,0.49144303798675537,1.039315104484558,1.4450433254241943,2.0339243412017822,1.324165,1.8816497,2262
9,XCMPlus,{},5635,0.7762183547019958,0.9598965644836426,1.359372615814209,1.913047432899475,1.2324059,1.7314602,174
10,TSTPlus,{},398849,0.8815897107124329,0.9357424974441528,1.338608980178833,1.8931868076324463,1.2141122,1.7174029,948
