,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,3.5028131008148193,3.4283499717712402,3.5082156658172607,4.12484073638916,3.4664414,4.0513415,1094
1,RNNPlus,{},10401,1.0719496011734009,1.3835968971252441,1.8132563829421997,2.443488359451294,1.7290322,2.3670955,69
2,TransformerGRUPlus,{},792705,1.2912744283676147,1.3073559999465942,1.7382280826568604,2.3476436138153076,1.6864104,2.3250046,1127
3,TransformerLSTMPlus,{},858753,1.2912461757659912,1.3068122863769531,1.7367238998413086,2.348944902420044,1.6887486,2.328286,690
4,TSSequencerPlus,{},210481,0.15491153299808502,1.2058905363082886,1.622780442237854,2.2496421337127686,1.4605072,2.0445364,1152
5,InceptionTimePlus,{},454977,0.07095571607351303,1.1106376647949219,1.5217148065567017,2.0924577713012695,1.4371592,1.9785638,1208
6,ResNetPlus,{},478337,0.027675559744238853,1.0760418176651,1.4874907732009888,2.0486977100372314,1.3905594,1.8938992,490
7,ConvTranPlus,{},12224,0.5008882284164429,1.0167359113693237,1.4195079803466797,2.0119879245758057,1.3161805,1.8385298,169
8,XCMPlus,{},5635,0.7736343145370483,0.9619199633598328,1.3608934879302979,1.92921781539917,1.2298554,1.7279744,144
9,XceptionTimePlus,{},234865,0.7352684736251831,0.937903881072998,1.3370704650878906,1.8887609243392944,1.2038832,1.6984894,1845
10,TSTPlus,{},398849,0.8975011110305786,0.929901123046875,1.3330734968185425,1.8786498308181763,1.2021351,1.7045385,761
