,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.327602863311768,5.64520263671875,5.878410339355469,6.927729606628418,6.0712194,7.2178974,378
1,TransformerLSTMPlus,{},858753,0.8670875430107117,0.9246837496757507,1.3095433712005615,1.9646823406219482,1.2790737,1.9780868,260
2,TransformerGRUPlus,{},792705,0.8659965991973877,0.9225647449493408,1.3076071739196777,1.9620481729507446,1.2831161,1.9804885,398
3,RNNPlus,{},10401,0.8227850794792175,0.9154321551322937,1.2959158420562744,1.951608419418335,1.2904145,1.9807031,22
4,InceptionTimePlus,{},454977,0.1928568035364151,0.7646180987358093,1.11891508102417,1.7078161239624023,1.1061637,1.7254896,433
5,ResNetPlus,{},478337,0.1444195955991745,0.7457567453384399,1.1000454425811768,1.682924509048462,1.1362916,1.762588,167
6,ConvTranPlus,{},12224,0.47113361954689026,0.6539366841316223,0.9896643757820129,1.5991095304489136,1.0233159,1.6948607,54
7,XCMPlus,{},5635,0.5384872555732727,0.6252604722976685,0.959890604019165,1.5145277976989746,0.97697973,1.5680574,44
8,TSTPlus,{},398849,0.6062372326850891,0.6072936654090881,0.9409640431404114,1.4956605434417725,0.9435846,1.527955,279
9,TSSequencerPlus,{},210481,0.5380479097366333,0.5983869433403015,0.9291961789131165,1.4715656042099,0.94035906,1.5445232,516
10,XceptionTimePlus,{},234865,0.5736956596374512,0.5960670113563538,0.9289533495903015,1.4655718803405762,0.94388103,1.5386794,670
