,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.173517227172852,5.700606346130371,5.9703803062438965,7.076850414276123,6.088646,7.2030954,524
1,RNNPlus,{},10401,0.7817652225494385,0.9380159974098206,1.3207284212112427,1.9870409965515137,1.3040432,1.9991362,30
2,TransformerLSTMPlus,{},858753,0.8644331097602844,0.9237715005874634,1.3093600273132324,1.96177077293396,1.2779287,1.9751387,327
3,TransformerGRUPlus,{},792705,0.8597188591957092,0.9224715232849121,1.3073729276657104,1.9599169492721558,1.2795527,1.9767332,538
4,ResNetPlus,{},478337,0.08965703099966049,0.7644370198249817,1.1256881952285767,1.6974655389785767,1.1605774,1.7863626,223
5,InceptionTimePlus,{},454977,0.12657342851161957,0.7532503604888916,1.1166445016860962,1.6724040508270264,1.1341885,1.7693595,586
6,ConvTranPlus,{},12224,0.4107905626296997,0.6730625629425049,1.0124188661575317,1.5894291400909424,1.0350457,1.6936954,72
7,XCMPlus,{},5635,0.5173174142837524,0.6230598092079163,0.9597336649894714,1.5417218208312988,0.9970736,1.6090748,59
8,TSTPlus,{},398849,0.5986363291740417,0.616593599319458,0.9577229619026184,1.492318868637085,0.9681578,1.5542854,351
9,TSSequencerPlus,{},210481,0.5025776028633118,0.6129782795906067,0.9477378726005554,1.4939298629760742,0.9542128,1.536188,542
10,XceptionTimePlus,{},234865,0.5526291131973267,0.6000348925590515,0.9299913048744202,1.4739255905151367,0.93900853,1.5313767,902
