,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.141035556793213,5.5864105224609375,5.834476470947266,6.882109642028809,6.0163503,7.2499557,640
1,RNNPlus,{},10401,0.7457653284072876,0.9469273090362549,1.3287032842636108,1.9941140413284302,1.316965,2.0192032,38
2,TransformerLSTMPlus,{},858753,0.8672505021095276,0.9240190982818604,1.3094216585159302,1.9598615169525146,1.2783931,1.9699543,408
3,TransformerGRUPlus,{},792705,0.8614822626113892,0.9238569140434265,1.3090622425079346,1.9605969190597534,1.2801834,1.9745457,673
4,ResNetPlus,{},478337,0.0576404370367527,0.7725393176078796,1.1422452926635742,1.6928919553756714,1.1459347,1.7489656,280
5,InceptionTimePlus,{},454977,0.09258192777633667,0.7550090551376343,1.1174864768981934,1.6842437982559204,1.1226045,1.7289517,727
6,ConvTranPlus,{},12224,0.3723374307155609,0.715876579284668,1.0602566003799438,1.6787400245666504,1.0736164,1.7100765,91
7,TSSequencerPlus,{},210481,0.3816019594669342,0.7011287212371826,1.0443320274353027,1.6806238889694214,1.0595866,1.6947138,675
8,XCMPlus,{},5635,0.507573664188385,0.6480826735496521,0.9932565689086914,1.553513765335083,0.9782936,1.5684832,75
9,XceptionTimePlus,{},234865,0.4492921233177185,0.6373922228813171,0.9744848608970642,1.5403618812561035,0.9624674,1.5601515,1149
10,TSTPlus,{},398849,0.5998666882514954,0.6029868125915527,0.9401666522026062,1.4779843091964722,0.96864724,1.574943,403
