,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.191264629364014,5.576042652130127,5.783744812011719,6.846651077270508,5.9167137,7.0283723,257
1,TransformerLSTMPlus,{},858753,0.8634517192840576,0.9249114394187927,1.3095825910568237,1.9648950099945068,1.2727479,1.966305,161
2,TransformerGRUPlus,{},792705,0.8640204071998596,0.9225698113441467,1.3081191778182983,1.9603190422058105,1.284118,1.9818258,264
3,RNNPlus,{},10401,0.8480499982833862,0.9168524146080017,1.299792766571045,1.9521068334579468,1.2830625,1.9758432,15
4,ResNetPlus,{},478337,0.2637338936328888,0.7222060561180115,1.0721659660339355,1.6759722232818604,1.1234516,1.7705212,111
5,InceptionTimePlus,{},454977,0.28523749113082886,0.719001829624176,1.0630985498428345,1.6651371717453003,1.0577501,1.7009652,288
6,ConvTranPlus,{},12224,0.4872573912143707,0.648052990436554,0.982762336730957,1.6119821071624756,1.0019225,1.6656132,36
7,XCMPlus,{},5635,0.5504570007324219,0.6076252460479736,0.9453291296958923,1.486321210861206,0.96971005,1.5719429,29
8,TSTPlus,{},398849,0.6055567264556885,0.6022167205810547,0.9414659738540649,1.4773976802825928,0.96579725,1.5498354,229
9,TSSequencerPlus,{},210481,0.5564196109771729,0.5989853143692017,0.9339314699172974,1.474276065826416,0.95645756,1.5617806,313
10,XceptionTimePlus,{},234865,0.5586318373680115,0.5971371531486511,0.9271907210350037,1.470515489578247,0.94061977,1.5318805,444
