,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.255987644195557,5.580605506896973,5.8130879402160645,6.865776538848877,5.955461,7.061867,123
1,TransformerLSTMPlus,{},858753,0.8678138852119446,0.9259549379348755,1.3109477758407593,1.9681508541107178,1.2847843,1.9846982,80
2,TransformerGRUPlus,{},792705,0.8699618577957153,0.9206646680831909,1.3056296110153198,1.960298776626587,1.2893552,1.9892673,131
3,RNNPlus,{},10401,0.8477080464363098,0.9214509725570679,1.302086591720581,1.9612795114517212,1.2851365,1.9830586,7
4,ResNetPlus,{},478337,0.4551424980163574,0.6443155407905579,0.9872120022773743,1.5563859939575195,0.9955287,1.5867293,54
5,InceptionTimePlus,{},454977,0.4386746883392334,0.6458166241645813,0.9821517467498779,1.5691825151443481,0.9902476,1.5898423,143
6,XCMPlus,{},5635,0.5677555203437805,0.6055517792701721,0.9411449432373047,1.4732940196990967,0.9720709,1.562927,15
7,TSTPlus,{},398849,0.6171536445617676,0.5969489216804504,0.9391822218894958,1.4620277881622314,0.97080815,1.5548989,81
8,ConvTranPlus,{},12224,0.5550884008407593,0.6057040095329285,0.9381439089775085,1.5089272260665894,0.9345,1.5218692,18
9,TSSequencerPlus,{},210481,0.5671984553337097,0.5950888991355896,0.9311383962631226,1.468012809753418,0.96162003,1.5652386,137
10,XceptionTimePlus,{},234865,0.5859881043434143,0.5954196453094482,0.9285711050033569,1.46053946018219,0.9550047,1.5460048,221
