,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,5.120628356933594,5.53705358505249,5.807410717010498,6.843111515045166,5.92829,7.116142,782
1,TransformerGRUPlus,{},792705,0.8622422814369202,0.9238753318786621,1.3087090253829956,1.9611997604370117,1.2801046,1.9744604,817
2,TransformerLSTMPlus,{},858753,0.8563828468322754,0.9231624007225037,1.3079110383987427,1.9605001211166382,1.2761997,1.969341,496
3,RNNPlus,{},10401,0.7872522473335266,0.9171535968780518,1.2981520891189575,1.9483351707458496,1.294095,1.9872658,46
4,InceptionTimePlus,{},454977,0.07918868958950043,0.7730334401130676,1.1379348039627075,1.7007111310958862,1.1572171,1.7735187,872
5,ResNetPlus,{},478337,0.0490470826625824,0.7591501474380493,1.1218342781066895,1.68877112865448,1.1348491,1.7630684,338
6,ConvTranPlus,{},12224,0.3557417690753937,0.7042691707611084,1.0453860759735107,1.6517846584320068,1.0656528,1.7209982,110
7,TSSequencerPlus,{},210481,0.3604854941368103,0.7008605003356934,1.043663740158081,1.6589820384979248,1.0232115,1.632165,829
8,XCMPlus,{},5635,0.4905431866645813,0.6537888050079346,0.9897658228874207,1.589037299156189,0.99923754,1.6041046,91
9,TSTPlus,{},398849,0.6085432171821594,0.6292080879211426,0.9750865697860718,1.509782314300537,0.98878133,1.5847511,487
10,XceptionTimePlus,{},234865,0.49198049306869507,0.6186705231666565,0.9498308300971985,1.5083508491516113,0.9403737,1.5350087,1349
